S.NO.,RAT,RT/PCR,POSITIVITY
1,14,86,0.86
2,9,91,0.78
3,32,68,0.77
4,20,80,0.56
5,21,79,0.52
6,13,87,0.52
7,35,65,0.36
8,28,72,0.3
9,24,76,0.22
10,21,79,0.1
11,18,82,0.06
12,35,65,2.08
13,16,84,1.37
14,10,90,0.99
15,13,87,0.68
16,13,87,0.52
17,3,97,0.44
18,47,53,0.37
19,21,79,0.29
20,39,61,0.28
21,7,93,0.27
22,3,97,0.25
23,28,72,0.21
24,3,97,0.21
25,8,92,0.18
26,12,88,0.17
27,19,81,0.16
28,7,93,0.12
29,10,90,0.1
30,4,96,0.09
31,23,77,0.03
32,7,93,0
33,16,84,0
34,49,51,1.53
35,43,57,1.18
36,44,56,0.41
37,31,69,0.32
38,35,65,0.29
39,37,63,0.27
40,27,73,0.26
41,28,72,0.25
42,28,72,0.24
43,54,46,0.21
44,17,83,0.17
45,33,67,0.13
46,31,69,0.12
47,42,58,0.12
48,10,90,0.12
49,45,55,0.12
50,39,61,0.1
51,51,49,0.07
52,47,53,0.07
53,53,47,0.06
54,22,78,0.06
55,42,58,0.06
56,15,85,1.17
57,93,7,1.14
58,28,72,1.13
59,11,89,1.03
60,61,39,1.02
61,46,54,0.83
62,60,40,0.77
63,53,47,0.71
64,21,79,0.62
65,56,44,0.61
66,66,34,0.6
67,45,55,0.57
68,48,52,0.53
69,54,46,0.52
70,55,45,0.43
71,23,77,0.41
72,53,47,0.4
73,52,48,0.38
74,16,84,0.31
75,40,60,0.3
76,40,60,0.3
77,71,29,0.27
78,60,40,0.23
79,58,42,0.23
80,69,31,0.22
81,5,95,0.2
82,29,71,0.2
83,51,49,0.19
84,20,80,0.17
85,66,34,0.14
86,44,56,0.12
87,75,25,0.08
88,67,33,0.06
89,12,88,0.06
90,85,15,0.04
91,35,65,0
92,40,60,22.06
93,35,65,16.53
94,46,54,15.8
95,46,54,15.61
96,31,69,15
97,27,73,14.16
98,43,57,13.03
99,38,62,11.82
100,24,76,11.74
101,28,72,11.45
102,43,57,10.43
103,31,69,9.6
104,45,55,8.97
105,34,66,8.32
106,6,94,3
107,2,98,1.69
108,30,70,1.41
109,11,89,0.87
110,4,96,0.74
111,2,98,0.56
112,4,96,0.44
113,19,81,0.37
114,2,98,0.35
115,6,94,0.28
116,1,99,0.19
117,2,98,0.09
118,1,99,0.07
119,30,70,0.19
120,59,41,0.12
121,41,59,0.1
122,50,50,0.05
123,70,30,0.05
124,43,57,0.03
125,58,42,0.03
126,59,41,0.03
127,30,70,0.02
128,44,56,0.02
129,64,36,0.02
130,46,54,0.01
131,40,60,0.01
132,41,59,0.01
133,60,40,0.01
134,48,52,0
135,40,60,0
136,52,48,0
137,41,59,0
138,33,67,0
139,40,60,0
140,52,48,0
141,75,25,0
142,16,84,0
143,35,65,0
144,37,63,0
145,35,65,0
146,67,33,0
147,34,66,0
148,35,65,0
149,52,48,0
150,55,45,0
151,55,45,0
152,55,45,0
153,39,61,0
154,50,50,0
155,47,53,0
156,51,49,0
157,47,53,2.12
158,54,46,0.67
159,64,36,0.59
160,66,34,0.49
161,79,21,0.33
162,88,12,0.28
163,77,23,0.17
164,86,14,0.14
165,64,36,0.13
166,97,3,0.12
167,39,61,0.12
168,72,28,0.1
169,64,36,0.08
170,95,5,0.08
171,68,32,0.06
172,91,9,0.03
173,77,23,0.03
174,99,1,0.02
175,70,30,0.02
176,91,9,0.01
177,1,99,1.46
178,30,70,0.36
179,55,45,1.09
180,25,75,1.05
181,9,91,0.84
182,40,60,0.79
183,51,49,0.7
184,55,45,0.44
185,43,57,0.34
186,33,67,0.33
187,43,57,0.32
188,46,54,0.31
189,71,29,0.31
190,59,41,0.31
191,60,40,0.29
192,58,42,0.29
193,72,28,0.28
194,83,17,0.26
195,75,25,0.22
196,73,27,0.2
197,70,30,0.18
198,79,21,0.18
199,36,64,0.13
200,59,41,0.09
201,60,40,0.06
202,40,60,22.06
203,35,65,16.53
204,46,54,15.8
205,46,54,15.61
206,31,69,15
207,27,73,14.16
208,43,57,13.03
209,38,62,11.82
210,24,76,11.74
211,28,72,11.45
212,43,57,10.43
213,31,69,9.6
214,45,55,8.97
215,34,66,8.32
